Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	7	0	1.575	321.945306	308.779594	298.431706	321.945306	14.0979245	2.56220983	0	18.1	0	0	3
64	7	0	1.6	323.842432	309.989629	298.975964	323.842432	15.1034688	2.6335047	0	17.4	0	0	3
65	8	0	1.625	325.981345	311.275599	300.026398	325.981345	15.9951462	2.71002384	0	16.9	0	0	3
66	8	0	1.65	327.933671	312.604517	300.985733	327.933671	16.8882294	2.78866531	0	16.5	0	0	3
67	8	0	1.675	329.778471	313.9756	301.982832	329.778471	17.7944927	2.86733732	0	16.1	0	0	3
68	8	0	1.7	331.657249	315.388667	302.98344	331.657249	18.7263914	2.94885959	0	15.7	0	0	3
69	8	0	1.725	333.074261	316.821564	304.025178	333.074261	19.633158	3.0308856	0	15.4	0	0	3
70	8	0	1.75	334.472991	318.271459	305.122678	334.472991	20.5085993	3.11267975	0	15.1	0	0	3
71	8	0	1.775	335.985984	319.741141	306.121938	335.985984	21.3666612	3.19508365	0	14.9	0	0	3
72	8	0	1.8	337.385623	321.229888	307.196739	337.385623	22.1993853	3.27692863	0	14.7	0	0	3
73	8	0	1.825	338.526465	322.721779	308.297672	338.526465	22.9969297	3.35701239	0	14.5	0	0	3
74	8	0	1.85	339.752267	324.219617	309.312923	339.752267	23.7686427	3.43500988	0	14.4	0	0	3
75	9	0	1.875	341.083957	325.732523	310.355253	341.083957	24.5322452	3.5126936	0	14.3	0	0	3
76	9	0	1.9	342.35346	327.256248	311.52299	342.35346	25.2626071	3.5889831	0	14.2	0	0	3
77	9	0	1.925	343.657272	328.786452	312.647603	343.657272	25.9687312	3.66447297	0	14.1	0	0	3
78	9	0	1.95	344.866189	330.32067	313.950138	344.866189	26.6349409	3.73830938	0	14	0	0	3
79	9	0	1.975	346.145512	331.853783	315.223832	346.145512	27.2654333	3.81142684	0	13.9	0	0	3
80	9	0	2	347.340169	333.383132	316.716147	347.340169	27.8392312	3.88350755	0	13.9	0	0	3
81	9	0	2.025	348.69357	334.905867	318.421001	348.69357	28.3446485	3.95491688	0	13.9	0	0	3
82	9	0	2.05	349.812575	336.400704	320.126009	349.812575	28.7637094	4.02515432	0	13.9	0	0	3
83	9	0	2.075	351.086124	337.874995	321.945306	351.086124	29.0954006	4.09457886	0	14	0	0	3
84	9	0	2.1	352.24868	339.318013	323.842432	352.24868	28.4062485	4.16271864	0	14.6	0	0	3
85	10	0	2.125	353.406194	340.725811	325.981345	353.406194	27.4248488	4.22814681	0	15.4	0	0	3
86	10	0	2.15	354.652591	342.091108	327.933671	354.652591	26.7189198	4.29156113	0	16	0	0	3
87	10	0	2.175	355.735978	343.415028	329.778471	355.735978	25.9575072	4.3525214	0	16.7	0	0	3
88	10	0	2.2	356.917489	344.707362	331.657249	356.917489	25.2602401	4.41144344	0	17.4	0	0	3
89	10	0	2.225	358.027936	345.963109	333.074261	358.027936	24.9536759	4.46814719	0	17.9	0	0	3
