Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	7	0	1.575	117368.761	127595.333	117368.761	160966.174	34305.8005	6285.88721	0	18.3	0	0	3
64	7	0	1.6	117000.868	125501.747	117000.868	152984.318	35974.7762	6332.13342	0	17.6	0	0	3
65	8	0	1.625	119397.994	123902.398	117000.868	148198.072	31197.204	6374.67993	0	20.4	0	0	3
66	8	0	1.65	120046.706	122561.857	117000.868	141653.705	24652.8372	6413.95364	0	26	0	0	3
67	8	0	1.675	117172.733	121396.096	117000.868	136902.764	19901.8961	6450.31818	0	32.4	0	0	3
68	8	0	1.7	123142.598	120740.85	117000.868	131494.761	14493.8924	6484.08525	0	44.7	0	0	3
69	8	0	1.725	118103.481	120103.17	117000.868	127824.957	10824.0893	6515.52356	0	60.1	0	0	3
70	8	0	1.75	115911.853	119535.88	115911.853	124716.469	8804.61576	6549.69903	0	74.3	0	0	3
71	8	0	1.775	117979.843	119215.088	115911.853	123142.598	7230.7453	6581.66964	0	91	0	0	3
72	8	0	1.8	121533.062	119284.655	115911.853	123142.598	7230.7453	6611.64208	0	91.4	0	0	3
73	8	0	1.825	116801.858	119167.943	115911.853	123142.598	7230.7453	6639.79801	0	91.8	0	0	3
74	8	0	1.85	116342.214	118975.108	115911.853	123142.598	7230.7453	6666.2977	0	92.1	0	0	3
75	9	0	1.875	116452.018	118881.98	115911.853	123142.598	7230.7453	6691.28313	0	92.5	0	0	3
76	9	0	1.9	115814.061	118697.233	115814.061	123142.598	7328.53759	6715.24215	0	91.6	0	0	3
77	9	0	1.925	118188.29	118550.992	115814.061	123142.598	7328.53759	6737.90609	0	91.9	0	0	3
78	9	0	1.95	115692.816	118366.176	115692.816	123142.598	7449.78207	6759.80199	0	90.7	0	0	3
79	9	0	1.975	116548.262	118148.732	115692.816	123142.598	7449.78207	6780.57502	0	91	0	0	3
80	9	0	2	114809.897	117943.176	114809.897	123142.598	8332.7016	6803.2482	0	81.6	0	0	3
81	9	0	2.025	116749.896	117833.507	114809.897	123142.598	8332.7016	6824.81537	0	81.9	0	0	3
82	9	0	2.05	114858.16	117572.284	114809.897	123142.598	8332.7016	6828.40871	0	81.9	0	0	3
83	9	0	2.075	116172.104	117432.737	114809.897	123142.598	8332.7016	6812.52122	0	81.7	0	0	3
84	9	0	2.1	115328.239	117335.569	114809.897	123142.598	8166.17793	6773.20352	0	82.9	0	0	3
85	10	0	2.125	116087.829	117292.091	114809.897	123142.598	6610.30722	6721.47237	0	100	0	0	3
86	10	0	2.15	115454.748	117104.317	114809.897	123142.598	5457.53954	6653.04872	0	100	0	0	3
87	10	0	2.175	115199.927	116873.518	114809.897	123142.598	4522.57791	6574.07842	0	100	0	0	3
88	10	0	2.2	115409.508	116789.555	114809.897	123142.598	3951.29496	6483.39809	0	100	0	0	3
89	10	0	2.225	115545.849	116427.805	114809.897	121533.062	3675.36494	6386.44763	0	100	0	0	3
90	10	0	2.25	113814.347	116223.561	113814.347	121533.062	3312.31872	6287.74884	0	100	0	0	3
91	10	0	2.275	115421.833	116200.227	113814.347	121533.062	3084.42784	6188.81188	0	100	0	0	3
92	10	0	2.3	114270.781	116023.605	113814.347	121533.062	3261.04985	6093.68017	0	100	0	0	3
93	10	0	2.325	115164.444	115720.337	113814.347	118188.29	3447.60562	6002.13835	0	100	0	0	3
94	10	0	2.35	115294.02	115648.535	113814.347	118188.29	3326.57277	5913.98696	0	100	0	0	3
95	11	0	2.375	114269.522	115549.836	113814.347	118188.29	3332.14424	5882.81635	0	100	0	0	3
96	11	0	2.4	114496.44	115456.713	113814.347	118188.29	3240.52053	5882.81635	0	100	0	0	3
97	11	0	2.425	114771.901	115407.086	113814.347	118188.29	3143.90584	5882.81635	0	100	0	0	3
98	11	0	2.45	115364.889	115272.639	113814.347	116749.896	2935.54908	5882.81635	0	100	0	0	3
99	11	0	2.475	113658.415	115175.762	113658.415	116749.896	2972.96947	5882.81635	0	100	0	0	3
100	11	0	2.5	115222.081	115112.611	113658.415	116749.896	2830.56501	5882.81635	0	100	0	0	3
101	11	0	2.525	115241.126	115133.146	113658.415	116749.896	2720.8965	5882.81635	0	100	0	0	3
102	11	0	2.55	113841.198	114994.636	113658.415	116172.104	2513.68913	5882.81635	0	100	0	0	3
103	12	0	2.575	114677.624	114986.039	113658.415	116172.104	2446.69753	5882.81635	0	100	0	0	3
104	12	0	2.6	114693.295	114915.62	113658.415	116087.829	2419.94936	5882.81635	0	100	0	0	3
105	12	0	2.625	115055.119	114902.614	113658.415	116087.829	2389.47699	5882.81635	0	100	0	0	3
106	12	0	2.65	113989.237	114802.681	113658.415	115545.849	1887.43372	5882.81635	0	100	0	0	3
107	12	0	2.675	115076.497	114784.669	113658.415	115545.849	1887.43372	5882.81635	0	100	0	0	3
108	12	0	2.7	115218.223	114785.54	113658.415	115545.849	1887.43372	5882.81635	0	100	0	0	3
109	12	0	2.725	115113.368	114771.438	113658.415	115545.849	1656.36698	5882.81635	0	100	0	0	3
110	12	0	2.75	113103.243	114655.124	113103.243	115421.833	1568.43708	5882.81635	0	100	0	0	3
111	12	0	2.775	114962.717	114709.808	113103.243	115421.833	1545.10281	5882.81635	0	100	0	0	3
112	12	0	2.8	116076.867	114741	113103.243	116076.867	1368.48079	5882.81635	0	100	0	0	3
113	13	0	2.825	113508.693	114704.71	113103.243	116076.867	1065.21327	5882.81635	0	100	0	0	3
114	13	0	2.85	114715.339	114683.324	113103.243	116076.867	993.411477	5882.81635	0	100	0	0	3
115	13	0	2.875	116363.143	114734.235	113103.243	116363.143	894.711844	5882.81635	0	100	0	0	3
116	13	0	2.9	112949.902	114671.396	112949.902	116363.143	801.589078	5882.81635	0	100	0	0	3
