Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
52	6	0	1.3	4.2226862e-05	0.000330944357	-0.00237221549	0.00409564389	0.00119947587	0.00155528869	0	100	0	0	3
53	6	0	1.325	4.94415642e-05	0.000343875744	-0.00237221549	0.00409564389	0.00119947587	0.00155528869	0	100	0	0	3
54	6	0	1.35	0.00012025478	0.000154571501	-0.00237221549	0.00316517607	0.00136024563	0.00155528869	0	100	0	0	3
55	7	0	1.375	0.00012292548	3.29178353e-05	-0.00237221549	0.00316517607	0.0014818993	0.00155528869	0	100	0	0	3
56	7	0	1.4	0.000148204384	4.01308719e-05	-0.00237221549	0.00316517607	0.0014818993	0.00155528869	0	100	0	0	3
57	7	0	1.425	0.000167876775	7.42195689e-05	-0.00237221549	0.00316517607	0.0014818993	0.00155528869	0	100	0	0	3
58	7	0	1.45	0.000177667243	-6.80427563e-05	-0.00237221549	0.00197946061	0.00158285989	0.00155528869	0	98.2	0	0	3
59	7	0	1.475	0.000180353983	-0.000152956542	-0.00237221549	0.00197946061	0.0013602526	0.00155528869	0	100	0	0	3
60	7	0	1.5	0.000171371734	-0.00012467888	-0.00237221549	0.00197946061	0.00118165399	0.00155528869	0	100	0	0	3
61	7	0	1.525	0.000171332153	-3.68578501e-05	-0.00237221549	0.00197946061	0.00118165399	0.00155528869	0	100	0	0	3
62	7	0	1.55	0.000146548936	-0.000124139358	-0.00237221549	0.000798611746	0.00118165399	0.00155528869	0	100	0	0	3
63	7	0	1.575	0.000161249097	-0.000154489961	-0.00237221549	0.000180353983	0.00112001567	0.00155528869	0	100	0	0	3
64	7	0	1.6	0.000167232185	-0.000128840194	-0.00237221549	0.000180353983	0.000961075615	0.00155528869	0	100	0	0	3
65	8	0	1.625	0.000192112257	-6.72934918e-06	-0.000563783366	0.000192112257	0.000755895624	0.00155528869	0	100	0	0	3
66	8	0	1.65	5.67481502e-05	2.23628875e-05	-0.000563783366	0.000192112257	0.000755895624	0.00155528869	0	100	0	0	3
